Smiles,Adduct,CCS
Clc1ccc(cc1)COC(=O)C1(CCN(CC1)C(=O)C)c1ccccc1,[M+H]+,186.95
N#Cc1ccc(cc1)COC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)C,[M+H]+,193.1
N#Cc1ccc(cc1)COC(=O)C1Cc2ccccc2CN1S(=O)(=O)CC,[M+H]+,197.54
N#Cc1ccc(cc1)COC(=O)c1cccc(c1Cl)Cl,[M+H]+,179.87
N#Cc1ccc(cc1)COC(=O)c1ccccc1SCC(=O)N(C)C,[M+H]+,186.27
N#Cc1ccc(cc1)COC(=O)C1Cc2ccccc2CN1C(=O)C,[M+H]+,180.77
N#Cc1ccc(cc1)COC(=O)c1ccc(c(c1)C)C,[M+H]+,179.67
N#Cc1ccc(cc1)COC(=O)c1sc2c(c1Cl)cccc2,[M+H]+,188.96
N#Cc1ccc(cc1)COC(=O)c1ccc(cc1)OCc1cscn1,[M+H]+,190.09
N#Cc1ccc(cc1)COC(=O)c1cncc(c1)Br,[M+H]+,176.73
N#Cc1ccc(cc1)COC(=O)c1ccc2c(c1)cccc2,[M+H]+,181.45
CCc1nc2ccccc2c(c1C)C(=O)OCc1ccc(cc1)F,[M+H]+,177.61
Fc1ccc(cc1)COC(=O)c1c(N)snc1C,[M+H]+,162.06
Cc1ccc(cc1)COC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,[M+H]+,186.68
O=C(Cc1c(Cl)cccc1Cl)OCn1nnc2c(c1=O)cccc2,[M+H]+,176.04
O=C(c1ccccc1O)OCn1nnc2c(c1=O)cccc2,[M+H]+,169.31
S=C(N1CCCC1)SCn1nnc2c(c1=O)cccc2,[M+H]+,171.07
CSc1ccccc1C(=O)OCc1nc2ccccc2c(=O)[nH]1,[M+H]+,171.1
